,player_name,player_kills,player_dbno,player_assists,player_dmg,player_dist_ride,player_dist_walk,player_survive_time
1403,LIJIUBIN,0 ,1 ,0 ,100 ,0 ,546 ,1030 
1404,LILUN66,3 ,2 ,1 ,193 ,347 ,2795 ,1096 
1405,LIN-LIANG,0 ,0 ,0 ,54 ,0 ,661 ,343 
1406,LINMO98,2 ,0 ,1 ,243 ,0 ,3907 ,1785 
1407,LIUYU1012,0 ,1 ,0 ,100 ,1860 ,1843 ,1142 
1408,LIXUAN12,0 ,0 ,1 ,162 ,0 ,750 ,427 
1409,LIXUEBENG,0 ,0 ,0 ,0 ,0 ,186 ,286 
1410,LIYUT,2 ,1 ,0 ,123 ,0 ,2261 ,1255 
1411,LIZITABABA,0 ,0 ,0 ,68 ,0 ,3403 ,1276 
1412,LJHXZH,3 ,1 ,0 ,273 ,1013 ,642 ,543 
1413,LJKASD123,0 ,0 ,0 ,6 ,1034 ,2203 ,1647 
1414,LJYXHYL,1 ,1 ,1 ,129 ,3960 ,1583 ,716 
1415,LJ_YX,2 ,3 ,0 ,299 ,4142 ,2269 ,1333 
1416,LK950729,0 ,0 ,0 ,0 ,0 ,313 ,159 
1417,LLGGYY,10 ,8 ,1 ,947 ,1421 ,3864 ,1627 
1418,LLLLL17,0 ,0 ,0 ,0 ,0 ,20 ,112 
1419,LLLLW6,2 ,0 ,0 ,139 ,2925 ,1399 ,1005 
1420,LLLLuDaWang,0 ,0 ,0 ,19 ,0 ,580 ,312 
1421,LMMCHI,1 ,1 ,0 ,101 ,1758 ,3967 ,1216 
1422,LONG-1113,3 ,2 ,0 ,310 ,2253 ,1372 ,656 
1423,LOVeSsGy,2 ,1 ,0 ,95 ,0 ,755 ,465 
1424,LRDVOLDEMORT,2 ,3 ,1 ,251 ,1258 ,2635 ,1397 
1425,LRLH0716,0 ,0 ,0 ,0 ,0 ,67 ,131 
1426,LSX_No1,0 ,0 ,0 ,53 ,0 ,344 ,283 
1427,LSullivan,1 ,1 ,0 ,60 ,0 ,533 ,395 
1428,LT175677,1 ,0 ,0 ,154 ,575 ,2414 ,1386 
1429,LUCHENG757,0 ,0 ,0 ,29 ,2651 ,1106 ,763 
1430,LUWENT,0 ,0 ,1 ,172 ,0 ,1175 ,689 
1431,LWM--2596,0 ,0 ,0 ,0 ,0 ,153 ,216 
1432,LXD1992,0 ,0 ,0 ,8 ,203 ,551 ,452 
1433,LXPxxxxxx,0 ,0 ,0 ,109 ,0 ,508 ,322 
1434,LXSSS123,1 ,0 ,0 ,98 ,1857 ,1054 ,861 
1435,LXYOURMAN,0 ,0 ,1 ,14 ,0 ,540 ,503 
1436,LXZAK-47,1 ,0 ,0 ,100 ,0 ,512 ,398 
1437,LXqq57,3 ,0 ,0 ,271 ,0 ,1181 ,560 
1438,LYCDxyws,0 ,1 ,0 ,50 ,0 ,190 ,174 
1439,LYcoolbrother,0 ,0 ,0 ,31 ,4273 ,1365 ,906 
1440,LZJSP66,0 ,0 ,0 ,0 ,0 ,702 ,385 
1441,LZOWO,1 ,1 ,0 ,200 ,2 ,1253 ,612 
1442,LZPLZ,1 ,1 ,0 ,96 ,0 ,410 ,254 
1443,LZ_zzzz,0 ,0 ,0 ,0 ,0 ,68 ,91 
1444,LZshiG,0 ,0 ,0 ,0 ,0 ,56 ,142 
1445,L_1202,4 ,2 ,0 ,305 ,3172 ,1334 ,1414 
1446,LaceThongs,0 ,0 ,0 ,24 ,2529 ,3355 ,1311 
1447,LancelotRin,0 ,0 ,0 ,0 ,138 ,100 ,113 
1448,LaoBiaoStrong,1 ,1 ,1 ,78 ,4315 ,5813 ,1867 
1449,LaoGe22,0 ,0 ,0 ,0 ,367 ,1034 ,484 
1450,LaoPiCeng,1 ,1 ,0 ,12 ,0 ,335 ,229 
1451,LaoWan686,0 ,0 ,1 ,70 ,0 ,197 ,129 
1452,LaoXu6,2 ,0 ,0 ,174 ,2320 ,2017 ,950 
1453,Larpmaster42,1 ,1 ,1 ,151 ,0 ,635 ,422 
1454,Lastride6,0 ,0 ,0 ,74 ,0 ,1498 ,664 
1455,Lastwh1sper-,0 ,0 ,1 ,50 ,0 ,685 ,515 
1456,Later-ooon,1 ,1 ,1 ,115 ,1184 ,1069 ,807 
1457,Lauciandd,3 ,3 ,0 ,174 ,0 ,2390 ,893 
1458,LaughKK,4 ,2 ,4 ,629 ,2040 ,2672 ,1843 
1459,LawlitDraco,2 ,2 ,0 ,197 ,1467 ,601 ,379 
1460,Layrex,0 ,1 ,0 ,200 ,0 ,42 ,136 
1461,LeCake,0 ,0 ,0 ,0 ,914 ,499 ,269 
1462,Leah-me,0 ,0 ,0 ,0 ,0 ,127 ,265 
1463,Leder135,0 ,0 ,0 ,48 ,0 ,356 ,267 
1464,LeeByungsun,1 ,0 ,0 ,116 ,0 ,1060 ,1068 
1465,Lee_Wshhhhh,0 ,0 ,0 ,0 ,0 ,269 ,200 
